,,,,,,,"Precision=91·6%, Sensitivity=87·5%,",
,,,,,,,Specificity=89·8%.,
"Wang et al.
2018 [5]",No,Diagnosis,Supervised,Neural Network,"N=1357 (n(MS)=676, n(HC)=681)
images.
N=64 (n(MS)=38, n(HC)=26)
patients",MRI Data,"Accuracy=98·77, Precision=98·75,
Sensitivity=98·77%, Specificity=98·76%",Hold-out validation
"Neeb et al.
2018 [6]",No,Diagnosis,Supervised,k Nearest Neighbours,"N=97 (n(MS)=52, n(HC)=45)",MRI Data,"Data not affected by motion: False prediction
rate=16·3%.
All data: False prediction rate=25·5%","Leave-one-out
cross-validation"
1,,,,,,,,

Paper,MultipleAIDsStudied,Prediction orClassificationTask,ML Type,Machine LearningMethod,Study Size (N),Type of Data,"Best Results (Metrics) Reported fromvalidation or cross-validation, andwhere conducted, the test set.",Cross-Validation
Lotsch et al.,No,Diagnosis,Supervised,Emergent self-organising,"N=403 (n(MS)=102, n(HC)=301)",Lipid Marker Data,ESOM balanced accuracy=98%.,Nested cross-
2018 [7],,,and,"maps, Random Forest",,,"Random forest: AUC=100%, Area under the",validation
,,,Unsupervised,,,,"precision recall curve=98·87%, Balanced",
,,,,,,,"accuracy=100%, Sensitivity=100%,",
,,,,,,,Specificity=100%,
"Tacchella et
al. 2017 [8]",No,"Disease
Progression",Supervised,"Random Forest/Human
Rating Hybrid",N=84,Clinical Data,"AUC=0·725 (180 days), 0·694 (360 days), 0·696
(720 days)","Leave-one-out
cross-validation"
"Lopez et al.
2018 [9]",No,Disease Subtype,Unsupervised,"Agglomerative hierarchical
clustering algorithm",N=191,SNP Data,Rand Index=0·96,"10-fold cross-
validation"
"Supratak et
al. 2018 [10]",No,Risk of Disease,Supervised,Support Vector Regression,N=32,Gait Speed Data,R-value=0·98,. (Individual models)
"Sacca et al.
2018 [11]",No,Early Diagnosis,Supervised,"Random Forest or Support
Vector Machine","N=37 (n(RRMS)=18, n(HC)=19)",MRI Data,"Accuracy=85·7%, Sensitivity=100%,
Specificity=66·7% (SVM and RF)","5-fold cross-
validation"
"Mowry et al.
2018 [12]",No,Risk of Disease,Supervised,Logistic Regression,"N=6552 (n(MS)=3276,
n(HC)=3276)","Clinical/Survey
and Genetic (HLA)
Data",.,"10-fold cross-
validation (tuning
parameter only)"
"Yoo et al.
2018 [13]",No,Early Diagnosis,"Supervised
and
Unsupervised","Deep Learning, LASSO and
Random Forest","N=99 (n(RRMS)=55, n(HC)=44)",MRI Data,"AUC=88·0% Accuracy=87·9% Sensitivity=87·3%,
Specificity=88·6%","11-fold cross-
validation"
"Kiiski et al.
2018 [14]",No,"Disease
Progression",Supervised,"Machine Learning
approach with Penalised
Linear Regression","N=78 (n(MS)=35 (22 RRMS, 13
SPMS), n(HC)=43)",Clinical Data,"Cognitive functioning: r-value 0·35 (baseline),
0·44 (13 months).
Processing Speed and Working Memory: r-value
0·27 (baseline), 0·39 (13 months)","10-fold cross
validation, nested
cross validation"
Fiorini et al.,No,Disease Subtype,Supervised,Ordinary Least Squares,"N=457 (n(RRMS)=170,","Clinical Scales,","Accuracy=78·32 (Ordinary least squares), 78·24","Hold-out validation,"
2015 [15],,,,Regression or Regularised,"n(SPMS)=205, n(PPMS)=68,",Patient Reported,"(regularised least squares), F1 score=0·701",testing set
,,,,Least Squares Regression,"n(PRMS)=8, n(Benign)=6)",Outcomes,"(Ordinary least squares), 0·702 (regularised least",
,,,,,,(anthropometric,squares),
,,,,,,and,,
,,,,,,questionnaires),,
,,,,,,Data.,,
Zhong et al.,No,Disease,Supervised,Support Vector Machine,"N=72 (n(MFP)=26, n(MFI)=25,",MRI Data,"HC vs MFI: AUC=0·9448, Accuracy=88·34%,",Leave-one-out
2017 [16],,Progression,,,n(HC)=21),,"Sensitivity=96·00%, Specificity=85·71%.",cross-validation
,,,,,,,"HC vs MFP: AUC=0·8416, Accuracy=84·16%,",
,,,,,,,"Sensitivity=88·46%, Specificity=85·71%.",
,,,,,,,"MFP vs MFI: AUC=0·8338, Accuracy=85·61%,",
,,,,,,,"Sensitivity=92%, Specificity=84·62%.",
2,,,,,,,,

Paper,MultipleAIDsStudied,Prediction orClassificationTask,ML Type,Machine LearningMethod,Study Size (N),Type of Data,"Best Results (Metrics) Reported fromvalidation or cross-validation, andwhere conducted, the test set.",Cross-Validation
"Lotsch et al.
2017 [17]",No,Diagnosis,Unsupervised,"Emergent self-organising
feature maps","N=403 (n(MS)=102, n(HC)=301)","Clinical (Lipid
Serum) Data","Balanced Accuracy=94·6%, Sensitivity=89·2%,
Specificity=100%",.
"Karaca et al.
2017 [18]",No,Disease Subtype,Supervised,"Convex Infinite Kernel
Approach (CIKA)","N=139 (n(MS)=120, n(HC)19)","MRI and EDSS
Data",Accuracy=0·8889,"10-fold cross-
validation"
"Ostmeyer et
al. 2017 [19]",No,Diagnosis,Supervised,Logistic Regression Model,"N=125 (n(train)=71 RRMS + 12
OND; n(val)=60 RRMS + 42 OND)","Clinical (Immune
Repertoire) Data","Cross-validation: Accuracy=87%
Independent Test Data: AUC=0·75,
Accuracy=72%","Leave-one-out
cross-validation,
independent test
data"
"McGinnis et
al. 2017 [20]",No,"Disease
Progression",Supervised,Support Vector Regression,N=47,"Gait
Measurement
Data",RMSE 0·14m/s,"Leave-one-subject-
out cross-validation"
Zhao et al.,No,Disease,Supervised,Support Vector Machine,N=1693,Clinical and MRI,"G0: Accuracy=0·67, Sensitivity=0·81,",10-fold cross-
2017 [21],,Progression,,,,Data,Specificity=0·59.,validation
,,,,,,,"G1: Accuracy=0·68, Sensitivity=0·82,",
,,,,,,,Specificity=0·58.,
,,,,,,,"G2: Accuracy=0·65, Sensitivity=0·80,",
,,,,,,,Specificity=0·57.,
,,,,,,,"G3: Accuracy=0·54, Sensitivity=0·52,",
,,,,,,,Specificity=0·55.,
Ion-,No,Disease Subtype,Supervised,Linear Discriminant,"N=105 (n(MS)=87, n(HC)=18)",Clinical and MRI,"CIS vs RR: Balanced accuracy=85%,",Leave-one-patient-
Margineanu,,,,"Analysis, Random Forest or",,Data,"Sensitivity=87%, Specificity=83% (SVM).",out cross-validation
et al. 2017,,,,Support Vector Machine,,,"CIS vs RR+SP: Balanced accuracy=92%,",
[22],,,,,,,"Sensitivity=93%, Specificity=90% (SVM).",
,,,,,,,RR vs PP: Balanced accuracy=81% (SVM and,
,,,,,,,"LDA), Sensitivity=76%, Specificity=86% (SVM),",
,,,,,,,"Sensitivity=84%, Specificity=78% (LDA).",
,,,,,,,"RR vs SP: Balanced accuracy=87%,",
,,,,,,,"Sensitivity=85%, Specificity=88% (SVM)",
Kocevar et al.,No,Disease Subtype,Supervised,Support Vector Machine,"N=90 (n(MS)=64, n(HC)=26)",MRI Data,"HC vs CIS: F-Measure=91·8%, Precision=92%,",10-fold cross-
2016 [23],,,,,,,Recall=91·7%.,validation
,,,,,,,"CIS vs RR: F-Measure=91·8%, Precision=92%,",
,,,,,,,Recall=91·7%.,
,,,,,,,"RR vs PP: F-Measure=75·6%, Precision=75·6%,",
,,,,,,,Recall=75·6%.,
,,,,,,,"RR vs SP: F-Measure=85·4%, Precision=85·5%,",
,,,,,,,Recall=85·4%.,
,,,,,,,"SP vs PP: F-Measure=66·7%, Precision=67·5,",
,,,,,,,Recall=65·9.,
,,,,,,,"CIS vs RR vs SP: F-Measure=70·6%,",
,,,,,,,"Precision=71·3%, Recall=70·0%",
3,,,,,,,,

Paper,MultipleAIDsStudied,Prediction orClassificationTask,ML Type,Machine LearningMethod,Study Size (N),Type of Data,"Best Results (Metrics) Reported fromvalidation or cross-validation, andwhere conducted, the test set.",Cross-Validation
"Kosa et al.
2016 [24]",No,"Disease
Progression",Supervised,"CombiWISE (algorithm
combines disability scoring
systems)",N=408,"Clinical and MRI
data",.,Hold-out validation
"Baranzini et
al. 2015 [25]",No,"Disease
progression",Supervised,Random Forest,N=155,"RNA biomarkers,
Clinical, MRI Data","Accuracy=0·68, Sensitivity=0·22, Specificity=0·88",Hold-out validation
"Wottschel et
al. 2015 [26]",No,"Disease
Progression",Supervised,Support Vector Machine,N=74,"Clinical and MRI
Data","1 year follow-up: Accuracy=71·4%,
Sensitivity=77%, Specificity=66%.
3 year follow up: Accuracy=68% Sensitivity=60%,
Specificity=76%","Leave-one-out
cross-validation"
"Crimi et al
2014 [27]",No,"Disease
Progression","Supervised
and
Unsupervised","Spectral clustering and
Least squares linear
regression",N=25,MRI Data,R2=0·9,"Leave-one-patient
out cross-validation"
Sweeney et,No,Image,Supervised,Methods Analysed:,N=98,MRI Data,.,Hold-out validation
al. 2014 [28],,Segmentation,,"Logistic Regression, Neural",,,,
,,,,"Network, Support Vector",,,,
,,,,"Machine, Quadratic",,,,
,,,,"Discriminant Analysis,",,,,
,,,,Linear Discriminant,,,,
,,,,"Analysis, Gaussian Mixture",,,,
,,,,"Model, k Nearest",,,,
,,,,"Neighbour, Random",,,,
,,,,"Forest, Super Learner",,,,
Taschler et al.,No,Disease Subtype,Supervised,Bayesian Spatial,N=250,MRI Data,Bayesian Spatial Generalized Linear Mixed,Leave-one-out
2014 [29],,,,Generalized Linear Mixed,,,"Model: Accuracy=0·895 (overall), 0·851 (average",cross-validation
,,,,Model or Log Guassian Cox,,,over all subtypes).,
,,,,Process,,,Log Guassian Cox Process: Accuracy=0·748,
,,,,,,,"(overall), 0·823 (average over all subtypes)",
"Alaqtash et
al. 2011 [30]",No,"Diagnosis and
Disease Severity",Supervised,"Nearest Neighbour
Classifier (k Nearest
Neighbours) or Artificial
Neural Network","N=20 (n(HC)=12, n(spastic
diplegic cerebral palsy)=4,
n(RRMS)=4)","Clinical (Ground
Reaction Forces;
Gait Assessment)
Data","Accuracy=95%, Sensitivity=96%, Specificity=95%","Leave-one-out
cross-validation"
"Goldstein et
al. 2010 [31]",No,Risk of Disease,Supervised,Random Forest,"N=3362 (n(MS)=931,
n(HC)=2431)",GWAS Data,.,Out-of-bag Error
"Corvol et al.
2008 [32]",No,Risk of Disease,"Supervised
and
Unsupervised","Hierarchical Clustering and
Support Vector Machine","N=62 (n(CIS)=34, n(HC)=28)","Clinical,
Microarray Data","Hierarchical Clustering of high-risk group:
Sensitivity=92%, Specificity=86%.
Support vector machine on high-risk group:
Accuracy=86%, Precision=78%, Negative
Predictive Value=90%","10-fold cross-
validation"
4,,,,,,,,

Paper,MultipleAIDsStudied,Prediction orClassificationTask,ML Type,Machine LearningMethod,Study Size (N),Type of Data,"Best Results (Metrics) Reported fromvalidation or cross-validation, andwhere conducted, the test set.",Cross-Validation
"Briggs et al.
2010 [33]",No,Risk of Disease,Supervised,Random Forest,"N=12566 (n(test)=1343 MS +
1379 HC, n(val)=2624 MS + 7220
HC )",SNP Data,.,"Independent
validation dataset"
"Commowick
et al. 2018
[34]",No,"Image
Segmentation",Supervised,Consensus Model,N=53,MRI Data,"Dice Score~0·63, F1-score~0·5",Hold-out validation
"Ohanian et al.
2016 [35]",No,"Disease
Classification",Supervised,Decision Tree,N=460,"Questionnaire
Data","Accuracy=81·2% (MS & ME or CFS), 84·0% (ME
or CFS), 79·2% (MS correctly categorised)",.
"Salem et al.
2018 [36]",No,"Diagnosis and
Disease
Monitoring",Supervised,Logistic Regression,N=60,MRI Data,"Dice similarity coefficient=0·56 (segmentation),
0·77 (detection), F-score=0·806,
Sensitivity=74·3%, Specificity=88·14%","Leave-one-out
cross-validation"
"Cabezas et al.
2014 [37]",No,"Disease
Progression",Supervised,"BOOST (ensemble
classifier)",N=45 (three hospitals),MRI Data,"Median Dice Score=0·17 (hospital 1), 0·56
(hospital 2), 0·52 (hospital 3)","Leave-one-out
cross-validation"
"Zhang et al.
2016 [38]",No,Diagnosis,Supervised,k Nearest Neighbours,"N=38 and enrolled unspecified
number of HCs age and gender
matched",MRI Data,"Accuracy=97·94%, Precision=99·09%,
Sensitivity=96·15%, Specificity=99·32%","10-fold cross-
validation"
"Birenbaum et
al. 2017 [39]",No,"Diagnosis and
Disease
Monitoring",Supervised,"Convolution Neural
Network","N=19 (training n=5, test n=14)","Clinical (MRI,
longitudinal) Data","Cross-validation: Dice Score=0·727
Test Set: Dice Score=0·627","Leave-one-out
cross-validation,
independent test
set"
"Morrison et
al. 2016 [40].",No,"Disease
Monitoring",Supervised,"Customized randomized
forests and novel
ensembles of randomized
support vector machines",N=1041 videos,"Movement Tests
Data",Dice Score > 80%,.
"Liu et al. 2015
[41]",No,"Disease
Progression",Unsupervised,"Constraint-based
clustering",N=266,Clinical Data,.,.
Rheumatoid Arthritis,,,,,,,,
"Chin et al.
2018 [42]",No,Risk of Disease,"Supervised
and
Unsupervised","Non-negative Matrix
Factorisation, Support
Vector Machine","N=922,199 (n(RA)=1007,
n(HC)=921,192)","Medical
Diagnostic
Database","Accuracy ~72%, Sensitivity~74%, Specificity~70%","10-fold cross-
validation"
"Chocholova
et al. 2018
[43]",No,"Diagnosis and
Disease Subtype",Supervised,Artificial Neural Network,"N=100 (n(Seropositive RA)=31,
n(Seronegative RA)=16, n(HC)=53","Immunoassay
(Serum Samples)
Data","Seropositive RA vs non-RA: AUC=0.96
Seronegative RA vs non-RA: AUC=0.86","Hold-out validation,
testing set"
"Wu et al.
2018 [44]",No,Diagnosis,Supervised,Logistic Regression,"N=806 (n(HC)=383, n(T2D)=170,
n(RA)=130, n(Liver
Cirrhosis)=123)","Microbiome and
Clinical Data","AUC=0·96, F1-score=0·92","5-fold cross-
validation"
5,,,,,,,,

Paper,MultipleAIDsStudied,Prediction orClassificationTask,ML Type,Machine LearningMethod,Study Size (N),Type of Data,"Best Results (Metrics) Reported fromvalidation or cross-validation, andwhere conducted, the test set.",Cross-Validation
"Joo et al.
2017 [45]",No,"Disease
Progression",Supervised,Support Vector Machine,"N=773 (n(train and
validate)=374, n(test)=399)","GWAS & Clinical
Data","Cross-validation: AUC=0·7822, Accuracy=0·7481,
Sensitivity=0·7644, Specificity=0·7318.
Independent Test Data: Accuracy=0·6143","10-fold cross-
validation,
Independent Test
Datat"
"Andreu-Perez
et al. 2017
[46]",No,"Disease
Monitoring",Supervised,"Dichotomous Mapped
Forest","N=30 (n(RA)=10, n(HC)=20)",Movement Data,"Accuracy 95%, F-score 81%","Leave-one-subject-
out cross-validation"
"Orange et al.
2018 [47]",No,Disease Subtype,Both,"Consensus Clustering and
Support Vector Machine","N=129 (n(RA)=123, n(OA)=6)","RNA sequence
and Histology
Data","AUC=0·88 (high inflammatory vs other), 0·71
(low inflammatory vs other), 0·59 (mixed
subtype vs other)","Leave-one-out
cross-validation"
Ahmed et al.,No,Diagnosis,Supervised,Random Forest,"N=172 (n(early OA)=46, n(early",Plasma amino,Disease vs HC. Training set Cross-validation:,5-fold cross-
2016 [48],,,,,"RA)=45, n(non-RA)=42,",acid analyte Data,"AUC=0·99 Sensitivity=0·92, Specificity=0·91. Test",validation on
,,,,,"n(advanced OA)=17, n(advanced",,"set Cross-validation: AUC=0·96, Sensitivity=0·89,",training set and test
,,,,,RA)=22),,Specificity=0·9.,set.
,,,,,,,"Validation test set: AUC=0·77, Sensitivity=0·73,",Independent
,,,,,,,Specificity=0·72.,validation test set.
,,,,,,,Early RA classification. Training set Cross-,
,,,,,,,"validation: AUC=0·91, Sensitivity=0·8,",
,,,,,,,Specificity=0·78.,
,,,,,,,"Test set Cross-validation: AUC=0·87,",
,,,,,,,"Sensitivity=0·77, Specificity=0·76.",
,,,,,,,"Validation test set: AUC=0·62, Sensitivity=0·6,",
,,,,,,,Specificity=0·61.,
"Miyoshi et al.
2016 [49]",No,"Response to
treatment",Supervised,Multilayer Perceptron,N=180,Clinical Data,"AUC=0·75, Accuracy=92%, Sensitivity=96·7%,
Specificity=75%",Hold-out validation
"Yeo et al.
2016 [50]",No,Early Diagnosis,Supervised,Multivariate Analysis,"N=48 (n(Uninflamed
Controls)=10, n(Resolving
Arthritis)=9, n(early RA)=17,
n(established RA)=12)","Synovial mRNA
Data","Established RA vs Uninflamed: AUC=0·996 Early
RA vs Resolving RA: AUC=0·764",.
Zhou et al.,No,Identification of,Supervised,Random Forest and C5.0,N=480788,EHR Data,Test dataset 1: Accuracy=92·29%,Two independent
2016 [51],,Patients,,Decision Tree,,,"Sensitivity=86·2%, Specificity=94·6%",testing datasets
,,,,,,,Test dataset 2: Best-case scenario:,
,,,,,,,"Sensitivity=94%, Specificity=99·9%. Worst-case",
,,,,,,,"scenario: Sensitivity=83%, Specificity=99%",
"Lin et al. 2015
[52]",No,"Identification of
Patients",Supervised,"Natural Language
Processing and
Classification Rules","N=600 (n(RA with liver
toxicity)=170, n(RA)=430)",EMR Data,"Cross-validation: F1-score=0·847, Precision=0·8,
Recall=0·899
Test Set: F1-score=0·829, Precision=0·756,
Recall=0·919","10-fold cross
validation,
independent test
set"
6,,,,,,,,

Paper,MultipleAIDsStudied,Prediction orClassificationTask,ML Type,Machine LearningMethod,Study Size (N),Type of Data,"Best Results (Metrics) Reported fromvalidation or cross-validation, andwhere conducted, the test set.",Cross-Validation
"Chen et al.
2013 [53]",No,"Identification of
Patients",Supervised,"Active Learning and
Support Vector Machine","N=376 (n(RA)=185,
n(Controls)=191)",EHR Data,AUC > 0·95,"5-fold cross-
validation"
"Lin et al. 2013
[54]",No,Disease Severity,Supervised,"Natural Language
Processing and Support
Vector Machine","N=2017 (n(train)=852, n(test set
1)=821, n(test set 2)=344)",EMR Data,"Test set 1 AUC=0·831, F1-score=0·789.
Test set 2 AUC=0·785, F1 score=0·761","10-fold cross
validation on two
test sets"
"Negi et al.
2013 [55]",No,Risk of Disease,Supervised,Support Vector Machine,"N=3542 (n(train)=706 RA + 761
Controls, n(test)=927 RA + 1148
Controls)",SNP Data,"AUC=0·93, Accuracy=88·7%","Cross validation
used"
"Pratt et al.
2012 [56]",No,Early Diagnosis,Supervised,Support Vector Machine,"N=173 (n(RA)= 47, n(non-RA)=64,
n(undifferentiated arthritis)=62)","CD4 T Cell
Transcriptome
Data","Sensitivity=0·68, Specificity=0·7.
Removing ACPA-positive subset:
Sensitivity=0·85, Specificity=0·75",Hold out validation
"Singh et al.
2012 [57]",No,Diagnosis,Supervised,Fuzzy Inference System,N=150,Clinical Data,.,.
"Kruppa et al.
2012 [58]",No,Risk of Disease,Supervised,"Random Forest in
regression mode (Random
Jungle)","N=1445 (n(RA)=707 and
n(HC)=738)",GWAS Data,AUC=0·8925,Hold-out validation
"Liu et al. 2011
[59]",No,Risk of Disease,Supervised,Random Forest,"N=4880 (n(cohort 1)=908 RA +
1260 controls, n(cohort 2)= 952
RA + 1760 controls)",SNP Data,"Accuracy=70%, Sensitivity=74%, Specificity=66%","Out of bag error,
Independent
validation cohort"
"Nair et al.
2010 [60]",No,"Response to
treatment",Supervised,"Least Squares Kernel-
Conjugate gradient
algorithm","N=25 (n(RA)=8, n(OA)=10,
n(HC)=7)","Electro-
myographic Gait
Data","Accuracy=91·07%, Sensitivity=81%,
Specificity=82%","8-fold cross-
validation"
"Briggs et al.
2010 [61]",No,Risk of Disease,Supervised,"Random Forest and
Logistic Regression",N= 4130,SNP Data,.,Hold-out validation
"Niu et al.
2010 [62]",No,Diagnosis,Supervised,Boosted Decision Tree,"N=143 (n(RA)=43, n(AID
Controls)=50, n(HC)=50)","Mass
Spectrometry
(from serum)","Accuracy=85·7% (RA), 87·5% (autoimmune
controls), 88·0% (HC). Sensitivity=85·71%,
Specificity=87·76% (RA vs controls)",Hold-out validation
"Geurts et al.
2005 [63]",Yes,Diagnosis,Supervised,"Decision Trees (RA
Boosting, IBD Extra-Trees)","N(RA)=206 (68 RA, 138 controls),
N(IBD)=480 (240 IBD, 240
controls)","Mass
Spectrometry
(from serum)","RA: Sensitivity=83·82%, Specificity=94·93%
IBD: Sensitivity=88·33%, Specificity= 91·63%","Leave-one-out
cross-validation"
de Seny et al.,Yes,Early Diagnosis,Supervised,Decision Tree Boosting,"N=103 (n(RA)=34,",Mass,"RA vs controls: Sensitivity=85%, Specificity=91%",Leave-one-out cross
2005 [64],,,,,n(inflammatory controls)=20 PsA,Spectrometry,"(2 independent spectra), Sensitivity=94%,",validation
,,,,,"+ 9 Asthma + 10 CrD,",(from serum),Specificity=90% (2 combined spectra).,
,,,,,n(controls)=14 OA + 16 HC),,"RA vs PsA: Sensitivity=94%, Specificity=86% (2",
,,,,,,,"independent spectra), Sensitivity=97%,",
,,,,,,,Specificity=76% (2 combined spectra).,
"Scheel et al.
2003 [65]",No,Early Diagnosis,Supervised,"Neural Network, Method
in [66]","N=22 patients, N=72 joints
examined","Laser Imaging
Data","Accuracy=86%, Sensitivity=80%, Specificity=89%",.
7,,,,,,,,

Paper,MultipleAIDsStudied,Prediction orClassificationTask,ML Type,Machine LearningMethod,Study Size (N),Type of Data,"Best Results (Metrics) Reported fromvalidation or cross-validation, andwhere conducted, the test set.",Cross-Validation
"Gronsbell et
al. 2018 [67]",No,"Identification of
Patients","Supervised
and
Unsupervised","Unsupervised (clustering
based) Feature Selection
and Sparse Regression",N=435,EMR Data,AUC=0·928,"Independent
validation dataset"
"Gossec et al.
2018 [68]",Yes,"Disease
Monitoring",Supervised,"Multiclass Selective Naïve
Bayes Classifier","N=155 (82 RA, 73 axSpA)","Physical Activity
Data","Sensitivity=95·7%, Specificity=96·7%",Hold-out validation
"Lezcano-
Valverde et
al. 2017 [69]",No,Mortality,Supervised,Random Survival Forests,N=1741,"Demographic &
Clinical Data","1 year follow-up: Sensitivity=0·79,
Specificity=0·8.
7 year follow up: Sensitivity=0·43,
Specificity=0·48.",Hold-out validation
"Gonzalez-
Recio et al.
2009 [70]",No,Risk of Disease,Supervised,"Information gain/entropy
reduction criteria and
Bayesian threshold LASSO","N=2062 (n(cases)=868,
n(controls)=1194)",SNPs,.,"5-fold cross-
validation"
Heard et al.,No,Early Diagnosis,Supervised,Artificial Neural Network,ANN: N=300 (n(HC)=98,Clinical,"ANN: Sensitivity=100% (HC), 100% (OA), 100%","Hold-out validation,"
2014 [71],,,,and Decision Tree,"n(OA)=101, n(RA)=101)",(Inflammatory,"(RA), Specificity=100% (HC), 100% (OA), 100%",independent testing
,,,,,"DT: N=298 (n(HC)= 100,",cytokine,(RA) for all cytokines and significant cytokines.,set
,,,,,"n(OA)=100, n(RA)=98)","expression, serum","DT: Sensitivity=100% (HC), 100% (OA), 95% (RA),",
,,,,,,samples) Data,"Specificity=96% (HC), 97% (OA), 100% (RA) for all",
,,,,,,,cytokines.,
"Gronsbell et
al. 2018 [72]",Yes,"Identification of
Patients","Semi-
Supervised",Semi-supervised approach,"N(RA)=44014 (500 labelled,
43514 unlabelled), N(MS)=12198
(455 labelled, 11743 unlabelled)",EMR Data,"AUC=94·93 (RA), 93·94 (MS)","10-fold cross-
validation"
Van Looy et,No,Response to,Supervised,Multilayer Perceptron or,N=511,Clinical Data,"All Cases: AUC=0·772, Sensitivity=0·95,",.
al. 2006 [73],,treatment,,Support Vector Machine,,,"Specificity=0.402 or Sensitivity=0·265,",
,,,,,,,Specificity=0·95 (MLP).,
,,,,,,,"Complete Cases, MLP: AUC=0·854,",
,,,,,,,"Sensitivity=0.95, Specificity=0·548 or",
,,,,,,,"Sensitivity=0·462, Specificity=0·95.",
,,,,,,,"Complete Cases, SVM: AUC=0·863,",
,,,,,,,"Sensitivity=0·95, Specificity=0·507 or",
,,,,,,,"Sensitivity=0·308, Specificity=0·95.",
,,,,,,,"Expectation Maximisation, MLP: AUC=0·813,",
,,,,,,,"Sensitivity=0·95, Specificity=0·411, or",
,,,,,,,"Sensitivity=0·412, Specificity=0·95.",
,,,,,,,"Expectation Maximisation, SVM: AUC=0·804,",
,,,,,,,"Sensitivity=0·95, Specificity=0·402, or",
,,,,,,,"Sensitivity=0·412, Specificity=0·95.",
"Wyns et al.
2004 [74]",No,Early Diagnosis,"Supervised
and
Unsupervised","Kohonen Neural Network
(includes Self Organising
Maps)","N=160 (n(RA)=51 RA, n(SpA)=43,
n(other)=26, n=40 with no
definite diagnosis)",Clinical Data,"Accuracy=62·3%, 65·3% (without undetermined
samples)",Hold-out validation
Inflammatory Bowel Disease,,,,,,,,
